id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,candidate,tweet_without_stopwords,Subjectivity,Polarity,Analysis
1615482704568400000.00,1615482704568400000.00,1673996065000.00,1/17/2023 23:54,100,,the worse presidential candidate in the history of nigerias political journey is bola ahmed tinubu,en,[],[],390649656.00,390649656.00,gistninja,GET YOUR PVC,2,23,https://twitter.com/gistninja/status/1615482704568401928,[],[],0,,FALSE,0,0,0,,Bola Tinubu OR \ BAT,,,,,,,[],,,,,Bola Ahmed Tinubu,worse presidential candidate history nigerias political journey bola ahmed tinubu,0.35,-0.2,Negative
1615481815728370000.00,1615481815728370000.00,1673995853000.00,1/17/2023 23:50,100,,tinubu enugu southeast to become an industrial hub  the national campaign train of the all progressives congress apc was in enugu for the presidential rally of the foremost candidate and most anticipated president of the federal republic of nigeria senator bola ahmed tinubu,en,[],[],1527319320971610000.00,1527319320971610000.00,Nwakaibie4Gov,Uche Nnaji Nwakaibie,2,23,https://twitter.com/Nwakaibie4Gov/status/1615481815728377858,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1615481564707553280/pu/img/2bw1_sdc5GIil779.jpg,FALSE,4,1,1,,Bola Tinubu OR \ BAT,,,,,,,[],,,,,Bola Ahmed Tinubu,tinubu enugu southeast become industrial hub national campaign train progressives congress apc enugu presidential rally foremost candidate anticipated president federal republic nigeria senator bola ahmed tinubu,0,0,Neutral
1615481312441250000.00,1615481303691820000.00,1673995733000.00,1/17/2023 23:48,100,,you deserve great congratulations apc presidential candidate bola ahmed tinubu told thousands of party supporters and chieftains who attended the rally in ilorin the state capital,en,[],[],2483016489.00,2483016489.00,jarmari01,Babangida Buharist🇳🇬™️,2,23,https://twitter.com/jarmari01/status/1615481312441257987,[],[],0,,FALSE,0,0,0,,Bola Tinubu OR \ BAT,,,,,,,[],,,,,Bola Ahmed Tinubu,deserve great congratulations apc presidential candidate bola ahmed tinubu told thousands party supporters chieftains attended rally ilorin state capital,0.75,0.8,Positive
1615481232640310000.00,1615481232640310000.00,1673995714000.00,1/17/2023 23:48,100,,i want to say a very big thank you to all the yoruba actors and actresses for standing with your own sonfatherherobrother and the next president of nigeria asiwaju bola ahmed tinubu  thank you for standing your ground against bully and well packaged fraud thank you guys,en,[],[],1520129366994390000.00,1520129366994390000.00,Mrbuddy_1,Emmanuel,2,23,https://twitter.com/Mrbuddy_1/status/1615481232640319488,[],[],0,,FALSE,33,2,7,,Bola Tinubu OR \ BAT,,,,,,,[],,,,,Bola Ahmed Tinubu,want say big thank yoruba actors actresses standing sonfatherherobrother next president nigeria asiwaju bola ahmed tinubu thank standing ground bully well packaged fraud thank guys,0.05,0,Neutral
1615480909980900000.00,1615480909980900000.00,1673995637000.00,1/17/2023 23:47,100,,please forgive us if we offended you please vote asiwaju bola ahmed tinubu akanbi  president   governor   rep   senate    kwam  de give me joy,en,[],[],4740619881.00,4740619881.00,taiyehassan7,𝘼𝙧𝙘_𝙏𝙖𝙞𝙬𝙤,2,23,https://twitter.com/taiyehassan7/status/1615480909980909568,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1615480696293789698/pu/img/EAvhzIOH3GTXBXCA.jpg,FALSE,3,1,0,,Bola Tinubu OR \ BAT,,,,,,,[],,,,,Bola Ahmed Tinubu,please forgive us offended please vote asiwaju bola ahmed tinubu akanbi president governor rep senate kwam de give joy,0.2,0.8,Positive
1615480493222260000.00,1615480493222260000.00,1673995538000.00,1/17/2023 23:45,100,,tinubu congratulates akande at    tinubu congratulates akande at  the all progressives congress presidential candidate bola tinubu has commended former osun state governor chief bisi akande for what he called his courage and extraordinary leadershi,en,[],[],425610050.00,425610050.00,Ikejapanorama,'Tayo Aderinola,2,23,https://twitter.com/Ikejapanorama/status/1615480493222264833,['https://lagospanorama.com/tinubu-congratulates-akande-at-84/'],[],0,,FALSE,0,0,0,,Bola Tinubu OR \ BAT,,,,,,,[],,,,,Bola Ahmed Tinubu,tinubu congratulates akande tinubu congratulates akande progressives congress presidential candidate bola tinubu commended former osun state governor chief bisi akande called courage extraordinary leadershi,0.5,0.166666667,Positive
1615479575944870000.00,1602061093836550000.00,1673995319000.00,1/17/2023 23:41,100,,no good roads poor electricity supply starving lagosiansunemployed youths even while mr bola tinubu was in power till now under the rule of apc,en,[],[],1529579296058220000.00,1529579296058220000.00,ChijinduOfoegbu,Ofoegbu chijindu,2,23,https://twitter.com/ChijinduOfoegbu/status/1615479575944871936,[],[],0,,FALSE,0,0,0,,Bola Tinubu OR \ BAT,,,,,,,"[{'screen_name': 'uwagbale_', 'name': 'Uwagbale Edward-Ekpu', 'id': '80253343'}, {'screen_name': 'Ohlee_vah', 'name': '$Onigi The kidobutai / I buy and sell all Crypto', 'id': '966028050533142528'}]",,,,,Bola Ahmed Tinubu,good roads poor electricity supply starving lagosiansunemployed youths even mr bola tinubu power till rule apc,0.6,0.15,Positive
1615479374874040000.00,1615479374874040000.00,1673995271000.00,1/17/2023 23:41,100,,photo news the entry of the incoming president asiwaju bola ahmed tinubu to the venue of the apc presidential campaign campaign rally in kwara,en,['tinubuinkwara'],[],3357103090.00,3357103090.00,SafwanAlfathy,Alfathy Isma'il,2,23,https://twitter.com/SafwanAlfathy/status/1615479374874042377,[],"['https://pbs.twimg.com/media/FmtV5ogX0AAgFCX.jpg', 'https://pbs.twimg.com/media/FmtV6KnX0AAGu5a.jpg', 'https://pbs.twimg.com/media/FmtV6vyWIAEvHmN.jpg', 'https://pbs.twimg.com/media/FmtV7QEXkAEbkqU.jpg']",1,https://pbs.twimg.com/media/FmtV5ogX0AAgFCX.jpg,FALSE,1,0,0,,Bola Tinubu OR \ BAT,,,,,,,[],,,,,Bola Ahmed Tinubu,photo news entry incoming president asiwaju bola ahmed tinubu venue apc presidential campaign campaign rally kwara,0,0,Neutral
1615478505117990000.00,1615478484230450000.00,1673995064000.00,1/17/2023 23:37,100,,while atiku abubakar and bola amoda escobat tinubu are dragging spv and narcotics and who is more corrupt mr peter obi has become a talking point globally a new nigeria is possible,en,[],[],1335301540463200000.00,1335301540463200000.00,IkukuomaC,Chief Ikukuoma,2,23,https://twitter.com/IkukuomaC/status/1615478505117999104,[],"['https://pbs.twimg.com/media/FmtVIDlXgAA1_nT.jpg', 'https://pbs.twimg.com/media/FmtVIniWQAE9cqR.jpg']",1,https://pbs.twimg.com/media/FmtVIDlXgAA1_nT.jpg,FALSE,35,1,21,,Bola Tinubu OR \ BAT,,,,,,,[],,,,,Bola Ahmed Tinubu,atiku abubakar bola amoda escobat tinubu dragging spv narcotics corrupt mr peter obi become talking point globally new nigeria possible,0.818181818,-0.121212121,Negative
1615477409385430000.00,1615477409385430000.00,1673994803000.00,1/17/2023 23:33,100,,atiku and bola ahmed tinubu we are watching you guys lets know whos more corrupt between both of you go ahead and bring it on,en,[],[],1393642273196230000.00,1393642273196230000.00,Celesti17951738,Celestine,2,23,https://twitter.com/Celesti17951738/status/1615477409385439232,[],[],0,,FALSE,0,0,0,,Bola Tinubu OR \ BAT,,,,,,,[],,,,,Bola Ahmed Tinubu,atiku bola ahmed tinubu watching guys lets know whos corrupt go ahead bring,1,-0.5,Negative
1615477035219950000.00,1615477035219950000.00,1673994713000.00,1/17/2023 23:31,100,,have you ever wonder why our party presidential candidate of repute bola ahmed tinubu will ever be a portrait of generational essence in the political clime bat has never ceased to buildmake people today campaign in kwara said it all unlike the obidense amp athiefcool,en,[],[],319647358.00,319647358.00,RealAdeshina,Prince Adeshina,2,23,https://twitter.com/RealAdeshina/status/1615477035219951619,[],[],1,https://pbs.twimg.com/amplify_video_thumb/1615476694717956099/img/RxmMbVfzb6BKgYle.jpg,FALSE,145,12,44,,Bola Tinubu OR \ BAT,,,,,,,[],,,,,Bola Ahmed Tinubu,ever wonder party presidential candidate repute bola ahmed tinubu ever portrait generational essence political clime bat never ceased buildmake people today campaign kwara said unlike obidense amp athiefcool,0.1,0,Neutral
1615476715215620000.00,1615476715215620000.00,1673994637000.00,1/17/2023 23:30,100,,creep sweeping security away is the broom  bola ahmed tinubu,en,[],[],1250788084876260000.00,1250788084876260000.00,AnselmChinazom,Okolie Anselm Chinazom,2,23,https://twitter.com/AnselmChinazom/status/1615476715215622155,[],[],0,,FALSE,0,0,0,,Bola Tinubu OR \ BAT,,,,,,,[],,,,,Bola Ahmed Tinubu,creep sweeping security away broom bola ahmed tinubu,0,0,Neutral
